Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
564258,How To Raise An Amazing Child the Montessori Way,Tim Seldin,"Seldin, Tim",,"=""075662505X""","=""9780756625054""",0,3.98,DK,Paperback,192,2006,2006,2017/03/01,2017/02/24,did-not-finish,did-not-finish (#6),read,,,,1,,,0,,,,,
813214,The Mist,Stephen King,"King, Stephen",,"=""0451223292""","=""9780451223296""",0,3.93,Signet,Paperback,240,2007,1980,,2017/02/28,to-read,to-read (#106),to-read,,,,0,,,0,,,,,
13573584,Survival of the Filthiest: A Get Fuzzy Collection,Darby Conley,"Conley, Darby",,"=""1449421903""","=""9781449421908""",3,4.18,Andrews McMeel Publishing,Paperback,128,2012,2012,,2017/02/24,,,read,,,,1,,,0,,,,,
17290220,"Rosie Revere, Engineer",Andrea Beaty,"Beaty, Andrea",David   Roberts,"=""1419708457""","=""9781419708459""",0,4.55,Harry N. Abrams,Hardcover,32,2013,2013,,2017/02/15,to-read,to-read (#105),to-read,,,,0,,,0,,,,,
31950745,Super Happy Magic Forest: Slug of Doom (Super Happy Magic Forest 2),Matty Long,"Long, Matty",,"=""0192742981""","=""9780192742988""",0,4.22,OUP Oxford,Paperback,32,2016,2016,,2017/02/15,to-read,to-read (#104),to-read,,,,0,,,0,,,,,
425818,"How to Catch a Star (The Boy, #1)",Oliver Jeffers,"Jeffers, Oliver",,"=""0007228074""","=""9780007228072""",0,4.20,HarperCollinsChildren'sBooks ,Hardcover,32,2006,2004,,2017/02/15,to-read,to-read (#103),to-read,,,,0,,,0,,,,,
819910,The Incredible Book Eating Boy,Oliver Jeffers,"Jeffers, Oliver",,"=""0399247491""","=""9780399247491""",0,4.28,Philomel Books,Hardcover,32,2007,2006,,2017/02/15,to-read,to-read (#102),to-read,,,,0,,,0,,,,,
28686931,A Child of Books,Oliver Jeffers,"Jeffers, Oliver",Sam Winston,"=""0763690775""","=""9780763690779""",0,4.10,Candlewick Press,Hardcover,36,2016,2016,,2017/02/15,to-read,to-read (#101),to-read,,,,0,,,0,,,,,
11211540,Stuck,Oliver Jeffers,"Jeffers, Oliver",,"=""0399257373""","=""9780399257377""",0,4.22,Philomel Books,Hardcover,32,2011,2011,,2017/02/15,to-read,to-read (#100),to-read,,,,0,,,0,,,,,
245276,In the American West,Richard Avedon,"Avedon, Richard",,"=""0810911051""","=""9780810911055""",5,4.44,ABRAMS,Hardcover,184,1997,1993,,2017/02/15,,,read,,,,2,,,0,,,,,
3187541,The Maltese Falcon: Art Of Innovation,Esther Barney,"Barney, Esther",Martin H. Redmayne,"=""0955636906""","=""9780955636905""",0,0.0,,,,,,,2017/02/15,to-read,to-read (#99),to-read,,,,0,,,0,,,,,
965774,Mine's Bigger: Tom Perkins and the Making of the Greatest Sailing Machine Ever Built,David A. Kaplan,"Kaplan, David A.",,"=""0061227943""","=""9780061227943""",2,3.80,William Morrow,Hardcover,288,2007,2007,,2017/02/15,,,read,,,,2,,,0,,,,,
158788,"The Journey to the West, Volume 1 (Journey to the West)",Wu Cheng'en,"Cheng'en, Wu",Anthony C. Yu,"=""0226971503""","=""9780226971506""",0,4.27,University Of Chicago Press,Paperback,544,1980,1592,,2017/02/15,to-read,to-read (#98),to-read,,,,0,,,0,,,,,
16101012,The Hueys in... It Wasn't Me,Oliver Jeffers,"Jeffers, Oliver",,"=""0399257683""","=""9780399257681""",3,3.51,Philomel,Hardcover,32,2013,2013,,2017/02/15,,,read,,,,1,,,0,,,,,
6328,Revolting Rhymes,Roald Dahl,"Dahl, Roald",Quentin Blake,"=""0142302260""","=""9780142302262""",0,4.14,Puffin,Paperback,48,2003,1982,,2017/02/15,to-read,to-read (#97),to-read,,,,0,,,0,,,,,
26212082,Doctor Strange: The Oath #1 (of 5),Brian K. Vaughan,"Vaughan, Brian K.","Marcos Martin, Álvaro López","=""""","=""""",0,4.15,Marvel,Kindle Edition,24,2006,2006,,2017/02/14,to-read,to-read (#96),to-read,,,,0,,,0,,,,,
5776788,"Sandman Slim (Sandman Slim, #1)",Richard Kadrey,"Kadrey, Richard",,"=""0061714305""","=""9780061714306""",0,3.94,Harper Voyager,Hardcover,388,2009,2009,,2017/02/14,to-read,to-read (#95),to-read,,,,0,,,0,,,,,
47212,"Storm Front (The Dresden Files, #1)",Jim Butcher,"Butcher, Jim",,"=""0451457811""","=""9780451457813""",0,4.02,Penguin ROC,Mass Market Paperback,322,2000,2000,,2017/02/14,to-read,to-read (#94),to-read,,,,0,,,0,,,,,
26883558,The Ballad of Black Tom,Victor LaValle,"LaValle, Victor",,"=""0765387867""","=""9780765387868""",0,3.92,Tor.com,Paperback,149,2016,2016,,2017/02/14,to-read,to-read (#93),to-read,,,,0,,,0,,,,,
31357411,Toddlers Are Assholes,Bunmi Laditan,"Laditan, Bunmi",,"=""""","=""9780147523563""",0,4.19,Penguin Random House Audio Publishing Group,Audiobook,,2015,2015,,2017/02/14,to-read,to-read (#92),to-read,,,,0,,,0,,,,,
6158627,The Complete Guide to Rocks & Minerals,John Farndon,"Farndon, John",,"=""1572152222""","=""9781572152229""",0,4.43,JG Press,Hardcover,256,2008,,,2017/02/11,,,read,,,,2,,,0,,,,,
342232,Simon and Schuster's Guide to Rocks and Minerals,Martin Prinz,"Prinz, Martin","Joseph Peters, George E. Harlow","=""0671243969""","=""9780671243968""",0,4.35,Simon & Schuster,Hardcover,607,1978,1978,,2017/02/11,,,read,,,,2,,,0,,,,,
36321,The Dream Cycle of H.P. Lovecraft: Dreams of Terror and Death,H.P. Lovecraft,"Lovecraft, H.P.","E. Hoffmann Price, Neil Gaiman","=""0345384210""","=""9780345384218""",0,4.27,Del Rey,Paperback,387,2003,1995,,2017/02/11,forgot,forgot (#169),read,,,,2,,,0,,,,,
772699,Mind Fields,Harlan Ellison,"Ellison, Harlan",Jacek Yerka,"=""0962344796""","=""9780962344794""",0,4.27,Morpheus International,Paperback,71,1994,1994,,2017/02/11,forgot,forgot (#168),read,,,,2,,,0,,,,,
8908,World War Z: An Oral History of the Zombie War,Max Brooks,"Brooks, Max",,"=""0307346609""","=""9780307346605""",0,4.01,Crown,Hardcover,342,2006,2006,,2017/02/13,forgot,forgot (#167),read,,,,1,,,0,,,,,
23754,"Preludes & Nocturnes (The Sandman, #1)",Neil Gaiman,"Gaiman, Neil","Sam Kieth, Mike Dringenberg, Malcolm Jones III, Todd Klein, Karen  Berger","=""1563892278""","=""9781563892271""",0,4.28,Vertigo,Hardcover,240,1998,1989,,2017/02/13,did-not-finish,did-not-finish (#5),read,,,,1,,,0,,,,,
16793,Stardust,Neil Gaiman,"Gaiman, Neil",,"=""0061142026""","=""9780061142024""",0,4.08,Harper Perennial,Paperback,248,2006,1998,,2017/02/13,forgot,forgot (#166),read,,,,1,,,0,,,,,
17061,Coraline,Neil Gaiman,"Gaiman, Neil",,"=""0061139378""","=""9780061139376""",0,4.04,William Morrow Paperbacks,Paperback,162,2006,2002,,2017/02/13,forgot,forgot (#165),read,,,,1,,,0,,,,,
43545,The Once and Future King (The Once and Future King #1-4),T.H. White,"White, T.H.",,"=""0441627404""","=""9780441627400""",0,4.08,Ace,Mass Market Paperback,639,1987,1958,,2017/02/13,did-not-finish,did-not-finish (#4),read,,,,1,,,0,,,,,
61975,"Dragonflight (Dragonriders of Pern, #1)",Anne McCaffrey,"McCaffrey, Anne",,"=""0345484266""","=""9780345484260""",0,4.10,Del Rey,Paperback,299,2005,1968,,2017/02/13,forgot,forgot (#164),read,,,,1,,,0,,,,,
43615,"The Gunslinger (The Dark Tower, #1)",Stephen King,"King, Stephen",,"=""0452284694""","=""9780452284692""",0,3.97,NAL,Paperback,231,2003,1982,,2017/02/13,to-read,to-read (#91),to-read,,,,0,,,0,,,,,
9569,Villa Incognito,Tom Robbins,"Robbins, Tom",,"=""1842431021""","=""9781842431023""",3,3.65,No Exit Press,Paperback,256,2004,2003,,2017/02/13,,,read,,,,2,,,0,,,,,
8682,Jitterbug Perfume,Tom Robbins,"Robbins, Tom",,"=""1842430351""","=""9781842430354""",0,4.24,No Exit Press,Paperback,342,2001,1984,,2017/02/13,forgot,forgot (#163),read,,,,1,,,0,,,,,
9566,Still Life with Woodpecker,Tom Robbins,"Robbins, Tom",,"=""184243022X""","=""9781842430224""",4,4.04,No Exit Press,Paperback,277,2001,1980,,2017/02/13,,,read,,,,1,,,0,,,,,
4980,Breakfast of Champions,Kurt Vonnegut,"Vonnegut, Kurt",,"=""0385334206""","=""9780385334204""",0,4.08,Dell Publishing,Paperback,303,1999,1973,,2017/02/13,forgot,forgot (#162),read,,,,1,,,0,,,,,
135479,Cat's Cradle,Kurt Vonnegut,"Vonnegut, Kurt",,"=""0140285601""","=""9780140285604""",5,4.18,Penguin,Paperback,306,1999,1963,,2017/02/13,,,read,,,,2,,,0,,,,,
4981,Slaughterhouse-Five,Kurt Vonnegut,"Vonnegut, Kurt",,"=""0385333846""","=""9780385333849""",0,4.06,Dial Press,Paperback,275,1999,1969,,2017/02/13,forgot,forgot (#161),read,,,,1,,,0,,,,,
472331,Watchmen,Alan Moore,"Moore, Alan","Dave Gibbons, John Higgins","=""0930289234""","=""9780930289232""",3,4.35,DC Comics,Paperback,416,2005,1987,,2017/02/13,,,read,,,,2,,,0,,,,,
228665,"The Eye of the World (Wheel of Time, #1)",Robert Jordan,"Jordan, Robert",Dzhordan Robert,"=""0812511816""","=""9780812511819""",3,4.18,Tor Books,Mass Market Paperback,814,1990,1990,,2017/02/13,,,read,,,,1,,,0,,,,,
21787,The Princess Bride,William Goldman,"Goldman, William",,"=""0345418263""","=""9780345418265""",0,4.25,Ballantine Books (Ballantine Reader's Circle),Paperback,398,2003,1973,,2017/02/13,to-read,to-read (#90),to-read,,,,0,,,0,,,,,
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",0,3.97,Harper Perennial,Paperback,268,1998,1932,,2017/02/13,forgot,forgot (#160),read,,,,1,,,0,,,,,
